config,seed,pattern,level,repeat,f1,auc
full_model,3,joint,0.0,0,0.6,0.8333333333333334
full_model,3,joint,0.0,1,0.6,0.8333333333333334
full_model,3,joint,0.0,2,0.6,0.8333333333333334
full_model,3,joint,0.0,3,0.6,0.8333333333333334
full_model,3,joint,0.0,4,0.6,0.8333333333333334
full_model,3,joint,0.1,0,0.4444444444444444,0.75
full_model,3,joint,0.1,1,0.6,0.8333333333333334
full_model,3,joint,0.1,2,0.4444444444444444,0.75
full_model,3,joint,0.1,3,0.7272727272727273,0.8333333333333334
full_model,3,joint,0.1,4,0.4444444444444444,0.8055555555555556
full_model,3,joint,0.2,0,0.6,0.7222222222222223
full_model,3,joint,0.2,1,0.36363636363636365,0.38888888888888895
full_model,3,joint,0.2,2,0.6,0.6666666666666666
full_model,3,joint,0.2,3,0.5454545454545454,0.638888888888889
full_model,3,joint,0.2,4,0.6,0.75
full_model,3,joint,0.3,0,0.4444444444444444,0.6666666666666667
full_model,3,joint,0.3,1,0.6,0.4722222222222222
full_model,3,joint,0.3,2,0.0,0.3888888888888889
full_model,3,joint,0.3,3,0.4,0.5833333333333334
full_model,3,joint,0.3,4,0.4,0.5972222222222222
full_model,3,joint,0.4,0,0.4,0.41666666666666663
full_model,3,joint,0.4,1,0.4,0.7222222222222223
full_model,3,joint,0.4,2,0.6,0.6666666666666667
full_model,3,joint,0.4,3,0.5454545454545454,0.5138888888888888
full_model,3,joint,0.4,4,0.6,0.638888888888889
full_model,3,joint,0.5,0,0.5,0.4166666666666667
full_model,3,joint,0.5,1,0.5454545454545454,0.7222222222222223
full_model,3,joint,0.5,2,0.4444444444444444,0.6388888888888888
full_model,3,joint,0.5,3,0.25,0.8055555555555556
full_model,3,joint,0.5,4,0.6666666666666666,0.6388888888888891
full_model,4,rgb,0.0,0,0.75,0.7777777777777778
full_model,4,rgb,0.0,1,0.75,0.7777777777777778
full_model,4,rgb,0.0,2,0.75,0.7777777777777778
full_model,4,rgb,0.0,3,0.75,0.7777777777777778
full_model,4,rgb,0.0,4,0.75,0.7777777777777778
full_model,4,rgb,0.1,0,0.75,0.7777777777777778
full_model,4,rgb,0.1,1,0.75,0.8055555555555556
full_model,4,rgb,0.1,2,0.75,0.75
full_model,4,rgb,0.1,3,0.75,0.6666666666666667
full_model,4,rgb,0.1,4,0.75,0.7777777777777778
full_model,4,rgb,0.2,0,0.75,0.75
full_model,4,rgb,0.2,1,0.75,0.7222222222222223
full_model,4,rgb,0.2,2,0.75,0.6666666666666667
full_model,4,rgb,0.2,3,0.75,0.7222222222222223
full_model,4,rgb,0.2,4,0.75,0.5833333333333334
full_model,4,rgb,0.3,0,0.75,0.6111111111111112
full_model,4,rgb,0.3,1,0.7058823529411765,0.6666666666666667
full_model,4,rgb,0.3,2,0.75,0.8333333333333334
full_model,4,rgb,0.3,3,0.7058823529411765,0.8333333333333335
full_model,4,rgb,0.3,4,0.75,0.8055555555555556
full_model,4,rgb,0.4,0,0.75,0.6944444444444444
full_model,4,rgb,0.4,1,0.7058823529411765,0.7777777777777778
full_model,4,rgb,0.4,2,0.75,0.5833333333333334
full_model,4,rgb,0.4,3,0.75,0.6944444444444444
full_model,4,rgb,0.4,4,0.7058823529411765,0.6666666666666667
full_model,4,rgb,0.5,0,0.7058823529411765,0.6388888888888888
full_model,4,rgb,0.5,1,0.75,0.8055555555555556
full_model,4,rgb,0.5,2,0.75,0.7500000000000001
full_model,4,rgb,0.5,3,0.75,0.7222222222222223
full_model,4,rgb,0.5,4,0.7058823529411765,0.638888888888889
full_model,4,ir,0.0,0,0.75,0.7777777777777778
full_model,4,ir,0.0,1,0.75,0.7777777777777778
full_model,4,ir,0.0,2,0.75,0.7777777777777778
full_model,4,ir,0.0,3,0.75,0.7777777777777778
full_model,4,ir,0.0,4,0.75,0.7777777777777778
full_model,4,ir,0.1,0,0.75,0.7777777777777778
full_model,4,ir,0.1,1,0.6666666666666666,0.6944444444444444
full_model,4,ir,0.1,2,0.7142857142857143,0.8333333333333334
full_model,4,ir,0.1,3,0.6666666666666666,0.7222222222222222
full_model,4,ir,0.1,4,0.75,0.7777777777777778
full_model,4,ir,0.2,0,0.6666666666666666,0.8333333333333334
full_model,4,ir,0.2,1,0.6666666666666666,0.6388888888888888
full_model,4,ir,0.2,2,0.75,0.75
full_model,4,ir,0.2,3,0.5714285714285714,0.638888888888889
full_model,4,ir,0.2,4,0.7142857142857143,0.7222222222222223
full_model,4,ir,0.3,0,0.8,0.8055555555555556
full_model,4,ir,0.3,1,0.7142857142857143,0.8055555555555556
full_model,4,ir,0.3,2,0.75,0.75
full_model,4,ir,0.3,3,0.75,0.888888888888889
full_model,4,ir,0.3,4,0.7142857142857143,0.7222222222222223
full_model,4,ir,0.4,0,0.75,0.7777777777777778
full_model,4,ir,0.4,1,0.6153846153846154,0.6666666666666667
full_model,4,ir,0.4,2,0.6666666666666666,0.6666666666666667
full_model,4,ir,0.4,3,0.7142857142857143,0.75
full_model,4,ir,0.4,4,0.6153846153846154,0.7222222222222222
full_model,4,ir,0.5,0,0.8,0.8055555555555556
full_model,4,ir,0.5,1,0.8,0.888888888888889
full_model,4,ir,0.5,2,0.8,0.8611111111111112
full_model,4,ir,0.5,3,0.6666666666666666,0.6666666666666667
full_model,4,ir,0.5,4,0.6666666666666666,0.7777777777777778
full_model,4,gas,0.0,0,0.75,0.7777777777777778
full_model,4,gas,0.0,1,0.75,0.7777777777777778
full_model,4,gas,0.0,2,0.75,0.7777777777777778
full_model,4,gas,0.0,3,0.75,0.7777777777777778
full_model,4,gas,0.0,4,0.75,0.7777777777777778
full_model,4,gas,0.1,0,0.75,0.7777777777777778
full_model,4,gas,0.1,1,0.6666666666666666,0.7777777777777778
full_model,4,gas,0.1,2,0.6666666666666666,0.75
full_model,4,gas,0.1,3,0.75,0.7777777777777778
full_model,4,gas,0.1,4,0.75,0.8333333333333334
full_model,4,gas,0.2,0,0.75,0.7777777777777778
full_model,4,gas,0.2,1,0.75,0.6944444444444444
full_model,4,gas,0.2,2,0.6666666666666666,0.7222222222222222
full_model,4,gas,0.2,3,0.7692307692307693,0.8055555555555556
full_model,4,gas,0.2,4,0.75,0.7777777777777778
full_model,4,gas,0.3,0,0.6666666666666666,0.6666666666666667
full_model,4,gas,0.3,1,0.8,0.8055555555555556
full_model,4,gas,0.3,2,0.75,0.7222222222222222
full_model,4,gas,0.3,3,0.7142857142857143,0.7777777777777778
full_model,4,gas,0.3,4,0.7142857142857143,0.75
full_model,4,gas,0.4,0,0.7692307692307693,0.8333333333333334
full_model,4,gas,0.4,1,0.8,0.7777777777777778
full_model,4,gas,0.4,2,0.7142857142857143,0.75
full_model,4,gas,0.4,3,0.7142857142857143,0.8055555555555556
full_model,4,gas,0.4,4,0.7692307692307693,0.7777777777777778
full_model,4,gas,0.5,0,0.7142857142857143,0.7222222222222223
full_model,4,gas,0.5,1,0.8571428571428571,0.8611111111111112
full_model,4,gas,0.5,2,0.8,0.8055555555555556
full_model,4,gas,0.5,3,0.7692307692307693,0.8055555555555556
full_model,4,gas,0.5,4,0.8,0.8055555555555556
full_model,4,joint,0.0,0,0.75,0.7777777777777778
full_model,4,joint,0.0,1,0.75,0.7777777777777778
full_model,4,joint,0.0,2,0.75,0.7777777777777778
full_model,4,joint,0.0,3,0.75,0.7777777777777778
full_model,4,joint,0.0,4,0.75,0.7777777777777778
full_model,4,joint,0.1,0,0.8,0.8333333333333334
full_model,4,joint,0.1,1,0.75,0.6944444444444444
full_model,4,joint,0.1,2,0.6666666666666666,0.75
full_model,4,joint,0.1,3,0.8,0.8333333333333334
full_model,4,joint,0.1,4,0.75,0.7777777777777778
full_model,4,joint,0.2,0,0.7142857142857143,0.6666666666666666
full_model,4,joint,0.2,1,0.6666666666666666,0.7222222222222222
full_model,4,joint,0.2,2,0.9230769230769231,0.9166666666666667
full_model,4,joint,0.2,3,0.7142857142857143,0.7222222222222222
full_model,4,joint,0.2,4,0.8,1.0
full_model,4,joint,0.3,0,0.75,0.8055555555555556
full_model,4,joint,0.3,1,0.5,0.4722222222222222
full_model,4,joint,0.3,2,0.6666666666666666,0.75
full_model,4,joint,0.3,3,0.7692307692307693,0.9444444444444445
full_model,4,joint,0.3,4,0.9230769230769231,0.8611111111111112
full_model,4,joint,0.4,0,0.7142857142857143,0.7777777777777778
full_model,4,joint,0.4,1,0.6666666666666666,0.6111111111111112
full_model,4,joint,0.4,2,0.5714285714285714,0.5833333333333334
full_model,4,joint,0.4,3,0.6666666666666666,0.5277777777777777
full_model,4,joint,0.4,4,0.5454545454545454,0.75
full_model,4,joint,0.5,0,0.5714285714285714,0.4722222222222222
full_model,4,joint,0.5,1,0.6666666666666666,0.6111111111111112
full_model,4,joint,0.5,2,0.6153846153846154,0.5555555555555556
full_model,4,joint,0.5,3,0.7142857142857143,0.5
full_model,4,joint,0.5,4,0.42857142857142855,0.4027777777777778
full_model,5,rgb,0.0,0,0.6666666666666666,0.75
full_model,5,rgb,0.0,1,0.6666666666666666,0.75
full_model,5,rgb,0.0,2,0.6666666666666666,0.75
full_model,5,rgb,0.0,3,0.6666666666666666,0.75
full_model,5,rgb,0.0,4,0.6666666666666666,0.75
full_model,5,rgb,0.1,0,0.6666666666666666,0.75
full_model,5,rgb,0.1,1,0.6666666666666666,0.6944444444444445
full_model,5,rgb,0.1,2,0.6666666666666666,0.6944444444444445
full_model,5,rgb,0.1,3,0.5882352941176471,0.5833333333333334
full_model,5,rgb,0.1,4,0.5882352941176471,0.6111111111111112
full_model,5,rgb,0.2,0,0.6666666666666666,0.6666666666666667
full_model,5,rgb,0.2,1,0.7058823529411765,0.8055555555555555
full_model,5,rgb,0.2,2,0.5333333333333333,0.5555555555555556
full_model,5,rgb,0.2,3,0.625,0.7222222222222222
full_model,5,rgb,0.2,4,0.75,0.8333333333333333
full_model,5,rgb,0.3,0,0.5333333333333333,0.47222222222222215
full_model,5,rgb,0.3,1,0.625,0.6388888888888888
full_model,5,rgb,0.3,2,0.5,0.5555555555555556
full_model,5,rgb,0.3,3,0.42857142857142855,0.5277777777777778
full_model,5,rgb,0.3,4,0.6666666666666666,0.5555555555555556
full_model,5,rgb,0.4,0,0.42857142857142855,0.41666666666666663
full_model,5,rgb,0.4,1,0.5882352941176471,0.6111111111111112
full_model,5,rgb,0.4,2,0.7058823529411765,0.7222222222222222
full_model,5,rgb,0.4,3,0.4,0.3611111111111111
full_model,5,rgb,0.4,4,0.625,0.6388888888888888
full_model,5,rgb,0.5,0,0.5333333333333333,0.6666666666666666
full_model,5,rgb,0.5,1,0.3076923076923077,0.3333333333333333
full_model,5,rgb,0.5,2,0.5714285714285714,0.6944444444444445
full_model,5,rgb,0.5,3,0.4,0.4722222222222222
full_model,5,rgb,0.5,4,0.5333333333333333,0.611111111111111
full_model,5,ir,0.0,0,0.6666666666666666,0.75
full_model,5,ir,0.0,1,0.6666666666666666,0.75
full_model,5,ir,0.0,2,0.6666666666666666,0.75
full_model,5,ir,0.0,3,0.6666666666666666,0.75
full_model,5,ir,0.0,4,0.6666666666666666,0.75
full_model,5,ir,0.1,0,0.6666666666666666,0.75
full_model,5,ir,0.1,1,0.6666666666666666,0.888888888888889
full_model,5,ir,0.1,2,0.6666666666666666,0.6944444444444444
full_model,5,ir,0.1,3,0.6666666666666666,0.6111111111111112
full_model,5,ir,0.1,4,0.6666666666666666,0.6388888888888888
full_model,5,ir,0.2,0,0.6666666666666666,0.6666666666666666
full_model,5,ir,0.2,1,0.6666666666666666,0.6111111111111112
full_model,5,ir,0.2,2,0.6666666666666666,0.7222222222222222
full_model,5,ir,0.2,3,0.6666666666666666,0.75
full_model,5,ir,0.2,4,0.6666666666666666,0.6111111111111112
full_model,5,ir,0.3,0,0.6666666666666666,0.8611111111111112
full_model,5,ir,0.3,1,0.6666666666666666,0.4722222222222222
full_model,5,ir,0.3,2,0.6666666666666666,0.8333333333333334
full_model,5,ir,0.3,3,0.6666666666666666,0.7777777777777779
full_model,5,ir,0.3,4,0.6666666666666666,0.7500000000000001
full_model,5,ir,0.4,0,0.6666666666666666,0.6388888888888888
full_model,5,ir,0.4,1,0.6666666666666666,0.6666666666666666
full_model,5,ir,0.4,2,0.6666666666666666,0.8055555555555557
full_model,5,ir,0.4,3,0.6666666666666666,0.6111111111111112
full_model,5,ir,0.4,4,0.6666666666666666,0.7777777777777779
full_model,5,ir,0.5,0,0.6666666666666666,0.5833333333333335
full_model,5,ir,0.5,1,0.6666666666666666,0.638888888888889
full_model,5,ir,0.5,2,0.6666666666666666,0.6111111111111112
full_model,5,ir,0.5,3,0.6666666666666666,0.7222222222222222
full_model,5,ir,0.5,4,0.6666666666666666,0.7777777777777778
full_model,5,gas,0.0,0,0.6666666666666666,0.75
full_model,5,gas,0.0,1,0.6666666666666666,0.75
full_model,5,gas,0.0,2,0.6666666666666666,0.75
full_model,5,gas,0.0,3,0.6666666666666666,0.75
full_model,5,gas,0.0,4,0.6666666666666666,0.75
full_model,5,gas,0.1,0,0.6666666666666666,0.7777777777777778
full_model,5,gas,0.1,1,0.6666666666666666,0.7777777777777778
full_model,5,gas,0.1,2,0.625,0.7777777777777778
full_model,5,gas,0.1,3,0.6666666666666666,0.75
full_model,5,gas,0.1,4,0.6666666666666666,0.75
full_model,5,gas,0.2,0,0.6666666666666666,0.6944444444444444
full_model,5,gas,0.2,1,0.7058823529411765,0.8055555555555556
full_model,5,gas,0.2,2,0.6666666666666666,0.75
full_model,5,gas,0.2,3,0.6666666666666666,0.7777777777777778
full_model,5,gas,0.2,4,0.75,0.8611111111111112
full_model,5,gas,0.3,0,0.75,0.8055555555555556
full_model,5,gas,0.3,1,0.6666666666666666,0.8333333333333334
full_model,5,gas,0.3,2,0.7058823529411765,0.7777777777777778
full_model,5,gas,0.3,3,0.75,0.9166666666666667
full_model,5,gas,0.3,4,0.75,0.888888888888889
full_model,5,gas,0.4,0,0.7142857142857143,0.8333333333333333
full_model,5,gas,0.4,1,0.7058823529411765,0.8055555555555556
full_model,5,gas,0.4,2,0.75,0.888888888888889
full_model,5,gas,0.4,3,0.6666666666666666,0.888888888888889
full_model,5,gas,0.4,4,0.8,0.8333333333333333
full_model,5,gas,0.5,0,0.75,0.888888888888889
full_model,5,gas,0.5,1,0.7142857142857143,0.8333333333333333
full_model,5,gas,0.5,2,0.8,0.9444444444444444
full_model,5,gas,0.5,3,0.7142857142857143,0.888888888888889
full_model,5,gas,0.5,4,0.8,0.8611111111111112
full_model,5,joint,0.0,0,0.6666666666666666,0.75
full_model,5,joint,0.0,1,0.6666666666666666,0.75
full_model,5,joint,0.0,2,0.6666666666666666,0.75
full_model,5,joint,0.0,3,0.6666666666666666,0.75
full_model,5,joint,0.0,4,0.6666666666666666,0.75
full_model,5,joint,0.1,0,0.6666666666666666,0.6666666666666667
full_model,5,joint,0.1,1,0.5882352941176471,0.5
full_model,5,joint,0.1,2,0.7058823529411765,0.6111111111111112
full_model,5,joint,0.1,3,0.6666666666666666,0.75
full_model,5,joint,0.1,4,0.625,0.6666666666666666
full_model,5,joint,0.2,0,0.625,0.6388888888888888
full_model,5,joint,0.2,1,0.7058823529411765,0.6111111111111112
full_model,5,joint,0.2,2,0.75,0.7777777777777778
full_model,5,joint,0.2,3,0.5882352941176471,0.75
full_model,5,joint,0.2,4,0.625,0.5555555555555556
full_model,5,joint,0.3,0,0.5,0.6111111111111112
full_model,5,joint,0.3,1,0.625,0.7777777777777779
full_model,5,joint,0.3,2,0.6666666666666666,0.4722222222222222
full_model,5,joint,0.3,3,0.5882352941176471,0.6388888888888888
full_model,5,joint,0.3,4,0.75,0.638888888888889
full_model,5,joint,0.4,0,0.75,0.9166666666666667
full_model,5,joint,0.4,1,0.5882352941176471,0.6111111111111112
full_model,5,joint,0.4,2,0.6153846153846154,0.5833333333333333
full_model,5,joint,0.4,3,0.7058823529411765,0.8611111111111112
full_model,5,joint,0.4,4,0.8571428571428571,0.8611111111111112
full_model,5,joint,0.5,0,0.7058823529411765,0.9722222222222223
full_model,5,joint,0.5,1,0.5714285714285714,0.7222222222222222
full_model,5,joint,0.5,2,0.5882352941176471,0.5555555555555556
full_model,5,joint,0.5,3,0.625,0.6111111111111112
full_model,5,joint,0.5,4,0.7058823529411765,0.8055555555555556
full_model,6,rgb,0.0,0,0.6666666666666666,0.5
full_model,6,rgb,0.0,1,0.6666666666666666,0.5
full_model,6,rgb,0.0,2,0.6666666666666666,0.5
full_model,6,rgb,0.0,3,0.6666666666666666,0.5
full_model,6,rgb,0.0,4,0.6666666666666666,0.5
full_model,6,rgb,0.1,0,0.5714285714285714,0.41666666666666663
full_model,6,rgb,0.1,1,0.6666666666666666,0.5
full_model,6,rgb,0.1,2,0.5714285714285714,0.41666666666666663
full_model,6,rgb,0.1,3,0.5,0.5
full_model,6,rgb,0.1,4,0.5714285714285714,0.41666666666666663
full_model,6,rgb,0.2,0,0.7142857142857143,0.6944444444444445
full_model,6,rgb,0.2,1,0.6666666666666666,0.6388888888888891
full_model,6,rgb,0.2,2,0.46153846153846156,0.36111111111111105
full_model,6,rgb,0.2,3,0.5714285714285714,0.4444444444444444
full_model,6,rgb,0.2,4,0.6666666666666666,0.5833333333333335
full_model,6,rgb,0.3,0,0.6666666666666666,0.6111111111111112
full_model,6,rgb,0.3,1,0.5,0.4444444444444444
full_model,6,rgb,0.3,2,0.6153846153846154,0.3611111111111111
full_model,6,rgb,0.3,3,0.5,0.4444444444444444
full_model,6,rgb,0.3,4,0.5714285714285714,0.4444444444444445
full_model,6,rgb,0.4,0,0.6153846153846154,0.6111111111111112
full_model,6,rgb,0.4,1,0.5,0.4722222222222222
full_model,6,rgb,0.4,2,0.46153846153846156,0.44444444444444436
full_model,6,rgb,0.4,3,0.6153846153846154,0.5833333333333334
full_model,6,rgb,0.4,4,0.36363636363636365,0.3888888888888889
full_model,6,rgb,0.5,0,0.5,0.6388888888888888
full_model,6,rgb,0.5,1,0.4,0.38888888888888895
full_model,6,rgb,0.5,2,0.2222222222222222,0.47222222222222227
full_model,6,rgb,0.5,3,0.5714285714285714,0.5277777777777778
full_model,6,rgb,0.5,4,0.3333333333333333,0.3611111111111111
full_model,6,ir,0.0,0,0.6666666666666666,0.5
full_model,6,ir,0.0,1,0.6666666666666666,0.5
full_model,6,ir,0.0,2,0.6666666666666666,0.5
full_model,6,ir,0.0,3,0.6666666666666666,0.5
full_model,6,ir,0.0,4,0.6666666666666666,0.5
full_model,6,ir,0.1,0,0.6666666666666666,0.5
full_model,6,ir,0.1,1,0.6666666666666666,0.5833333333333334
full_model,6,ir,0.1,2,0.6666666666666666,0.5833333333333334
full_model,6,ir,0.1,3,0.6666666666666666,0.5
full_model,6,ir,0.1,4,0.6666666666666666,0.5
full_model,6,ir,0.2,0,0.6666666666666666,0.5277777777777778
full_model,6,ir,0.2,1,0.6666666666666666,0.5277777777777778
full_model,6,ir,0.2,2,0.6666666666666666,0.5
full_model,6,ir,0.2,3,0.6666666666666666,0.5277777777777778
full_model,6,ir,0.2,4,0.5714285714285714,0.5
full_model,6,ir,0.3,0,0.6666666666666666,0.5555555555555556
full_model,6,ir,0.3,1,0.5333333333333333,0.49999999999999994
full_model,6,ir,0.3,2,0.6666666666666666,0.5555555555555556
full_model,6,ir,0.3,3,0.5333333333333333,0.4444444444444444
full_model,6,ir,0.3,4,0.6666666666666666,0.5277777777777778
full_model,6,ir,0.4,0,0.5714285714285714,0.47222222222222227
full_model,6,ir,0.4,1,0.625,0.5
full_model,6,ir,0.4,2,0.6666666666666666,0.5833333333333334
full_model,6,ir,0.4,3,0.625,0.5277777777777779
full_model,6,ir,0.4,4,0.5714285714285714,0.5277777777777778
full_model,6,ir,0.5,0,0.625,0.5555555555555556
full_model,6,ir,0.5,1,0.5333333333333333,0.5277777777777778
full_model,6,ir,0.5,2,0.625,0.5833333333333333
full_model,6,ir,0.5,3,0.6666666666666666,0.6388888888888888
full_model,6,ir,0.5,4,0.5714285714285714,0.5277777777777777
full_model,6,gas,0.0,0,0.6666666666666666,0.5
full_model,6,gas,0.0,1,0.6666666666666666,0.5
full_model,6,gas,0.0,2,0.6666666666666666,0.5
full_model,6,gas,0.0,3,0.6666666666666666,0.5
full_model,6,gas,0.0,4,0.6666666666666666,0.5
full_model,6,gas,0.1,0,0.6666666666666666,0.6666666666666667
full_model,6,gas,0.1,1,0.6666666666666666,0.5277777777777778
full_model,6,gas,0.1,2,0.6666666666666666,0.5277777777777778
full_model,6,gas,0.1,3,0.625,0.5
full_model,6,gas,0.1,4,0.6666666666666666,0.47222222222222227
full_model,6,gas,0.2,0,0.6666666666666666,0.5833333333333334
full_model,6,gas,0.2,1,0.6666666666666666,0.5277777777777778
full_model,6,gas,0.2,2,0.6666666666666666,0.5555555555555556
full_model,6,gas,0.2,3,0.6666666666666666,0.5
full_model,6,gas,0.2,4,0.6666666666666666,0.5833333333333334
full_model,6,gas,0.3,0,0.6666666666666666,0.5833333333333334
full_model,6,gas,0.3,1,0.6666666666666666,0.5555555555555556
full_model,6,gas,0.3,2,0.6666666666666666,0.5833333333333334
full_model,6,gas,0.3,3,0.6666666666666666,0.6666666666666667
full_model,6,gas,0.3,4,0.6666666666666666,0.5
full_model,6,gas,0.4,0,0.6666666666666666,0.5
full_model,6,gas,0.4,1,0.6666666666666666,0.5
full_model,6,gas,0.4,2,0.625,0.6111111111111112
full_model,6,gas,0.4,3,0.625,0.47222222222222227
full_model,6,gas,0.4,4,0.6666666666666666,0.5833333333333334
full_model,6,gas,0.5,0,0.625,0.6111111111111112
full_model,6,gas,0.5,1,0.625,0.47222222222222227
full_model,6,gas,0.5,2,0.6666666666666666,0.5277777777777778
full_model,6,gas,0.5,3,0.625,0.6666666666666667
full_model,6,gas,0.5,4,0.625,0.6111111111111112
full_model,6,joint,0.0,0,0.6666666666666666,0.5
full_model,6,joint,0.0,1,0.6666666666666666,0.5
full_model,6,joint,0.0,2,0.6666666666666666,0.5
full_model,6,joint,0.0,3,0.6666666666666666,0.5
full_model,6,joint,0.0,4,0.6666666666666666,0.5
full_model,6,joint,0.1,0,0.625,0.5
full_model,6,joint,0.1,1,0.5714285714285714,0.5555555555555556
full_model,6,joint,0.1,2,0.7142857142857143,0.6111111111111112
full_model,6,joint,0.1,3,0.6666666666666666,0.4444444444444445
full_model,6,joint,0.1,4,0.7142857142857143,0.7500000000000001
full_model,6,joint,0.2,0,0.5333333333333333,0.3888888888888889
full_model,6,joint,0.2,1,0.42857142857142855,0.38888888888888895
full_model,6,joint,0.2,2,0.7142857142857143,0.6666666666666667
full_model,6,joint,0.2,3,0.5,0.38888888888888884
full_model,6,joint,0.2,4,0.6666666666666666,0.5833333333333334
full_model,6,joint,0.3,0,0.46153846153846156,0.3888888888888889
full_model,6,joint,0.3,1,0.5714285714285714,0.6111111111111112
full_model,6,joint,0.3,2,0.5882352941176471,0.44444444444444453
full_model,6,joint,0.3,3,0.36363636363636365,0.41666666666666663
full_model,6,joint,0.3,4,0.6666666666666666,0.638888888888889
full_model,6,joint,0.4,0,0.36363636363636365,0.41666666666666663
full_model,6,joint,0.4,1,0.5333333333333333,0.38888888888888895
full_model,6,joint,0.4,2,0.46153846153846156,0.5277777777777778
full_model,6,joint,0.4,3,0.42857142857142855,0.3055555555555555
